Timestamp,Player Name,Player UUID,Class,ID,Name,Position,Change,Old Data,New Data
"2025-01-12T00:52:23.134Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1352, 67, -290)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-12T00:52:33.948Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1355, 67, -290)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-12T00:52:35.118Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1351, 67, -290)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-12T00:52:54.821Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1353, 67, -290)
(1355, 67, -277)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": true
}"
"2025-01-12T00:53:09.595Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1351, 67, -277)
(1353, 67, -290)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": true
}"
"2025-01-12T00:53:17.564Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1353, 67, -290)
(1353, 67, -305)","CREATE","{}","{
  ""type"": ""PLATFORM"",
  ""one_way"": false
}"
"2025-01-12T00:55:49.269Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Station","[-7364296714751602456]","","","CREATE","{}","{
  ""id"": -7364296714751602456,
  ""transport_mode"": ""TRAIN"",
  ""name"": """",
  ""color"": 0,
  ""x_min"": 1344,
  ""z_min"": -314,
  ""x_max"": 1363,
  ""z_max"": -278,
  ""zone"": 0,
  ""exits"": {}
}"
"2025-01-12T00:55:50.671Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Station","[-7364296714751602456]","","","EDIT","{
  ""x_min"": 1344,
  ""z_min"": -314,
  ""x_max"": 1363,
  ""z_max"": -278
}","{
  ""x_min"": 1338,
  ""z_min"": -311,
  ""x_max"": 1356,
  ""z_max"": -293
}"
"2025-01-12T00:55:54.039Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Station","[-7364296714751602456]","","","EDIT","{
  ""x_min"": 1338,
  ""z_min"": -311,
  ""x_max"": 1356,
  ""z_max"": -293
}","{
  ""x_min"": 1337,
  ""z_min"": -315,
  ""x_max"": 1369,
  ""z_max"": -280
}"
"2025-01-12T00:56:14.116Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Station","[-7364296714751602456]","Pillager","","EDIT","{
  ""name"": """",
  ""color"": 0
}","{
  ""name"": ""Pillager"",
  ""color"": 2375497
}"
"2025-01-12T00:56:25.166Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Route","[-5067435339701083739]","2","","EDIT","{
  ""platform_ids"": [
    -814596797942383599,
    -7833735290845973042,
    -8224250335951898085
  ],
  ""custom_destinations"": [
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    -814596797942383599,
    -7833735290845973042
  ],
  ""custom_destinations"": [
    """",
    """"
  ]
}"
