Timestamp,Player Name,Player UUID,Class,ID,Name,Position,Change,Old Data,New Data
"2025-01-11T21:50:51.949Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1351, 67, 43)
(1351, 67, 59)","CREATE","{}","{
  ""type"": ""PLATFORM"",
  ""one_way"": false
}"
"2025-01-11T21:50:56.297Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1355, 67, 43)
(1355, 67, 59)","CREATE","{}","{
  ""type"": ""PLATFORM"",
  ""one_way"": false
}"
"2025-01-11T21:51:38.046Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1352, 67, 164)
(1355, 67, 59)","CREATE","{}","{
  ""type"": ""IRON"",
  ""one_way"": false
}"
"2025-01-11T21:52:15.295Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1355, 67, 59)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-11T21:52:24.461Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1355, 67, 43)
(1355, 67, 59)","CREATE","{}","{
  ""type"": ""PLATFORM"",
  ""one_way"": false
}"
"2025-01-11T21:53:10.507Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1351, 67, 59)
(1352, 67, 164)","CREATE","{}","{
  ""type"": ""QUARTZ"",
  ""one_way"": false
}"
"2025-01-11T21:53:53.007Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1355, 67, 164)
(1355, 67, 59)","CREATE","{}","{
  ""type"": ""QUARTZ"",
  ""one_way"": false
}"
"2025-01-11T21:58:47.307Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1352, 67, 164)
(1352, 67, 279)","CREATE","{}","{
  ""type"": ""QUARTZ"",
  ""one_way"": false
}"
"2025-01-11T21:58:49.056Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1355, 67, 164)
(1355, 67, 279)","CREATE","{}","{
  ""type"": ""QUARTZ"",
  ""one_way"": false
}"
"2025-01-11T22:10:49.420Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1296, 67, 985)
(1355, 67, 279)","CREATE","{}","{
  ""type"": ""QUARTZ"",
  ""one_way"": false
}"
"2025-01-11T22:10:55.218Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1293, 67, 985)
(1352, 67, 279)","CREATE","{}","{
  ""type"": ""QUARTZ"",
  ""one_way"": false
}"
