Timestamp,Player Name,Player UUID,Class,ID,Name,Position,Change,Old Data,New Data
"2025-01-11T04:42:00.783Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Route","[3728048057335468304]","1","","EDIT","{
  ""platform_ids"": [
    4112894711324190629,
    8856239137531478106,
    7125875103425886793
  ],
  ""custom_destinations"": [
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    4112894711324190629,
    8856239137531478106,
    7125875103425886793,
    8856239137531478106
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """"
  ]
}"
"2025-01-11T04:42:04.205Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Route","[3728048057335468304]","1","","EDIT","{
  ""platform_ids"": [
    4112894711324190629,
    8856239137531478106,
    7125875103425886793,
    8856239137531478106
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    4112894711324190629,
    8856239137531478106,
    7125875103425886793,
    8856239137531478106,
    4112894711324190629
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """"
  ]
}"
"2025-01-11T04:50:26.407Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1366, 72, 52)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-11T04:50:36.264Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1340, 72, 52)
(1366, 72, 52)","CREATE","{}","{
  ""type"": ""PLATFORM"",
  ""one_way"": false
}"
"2025-01-11T04:50:41.571Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1366, 72, 52)
(1369, 72, 52)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": true
}"
"2025-01-11T04:51:55.713Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1394, 72, 49)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-11T04:52:04.561Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1369, 72, 49)
(1398, 72, 49)","CREATE","{}","{
  ""type"": ""SIDING"",
  ""one_way"": false
}"
"2025-01-11T04:52:08.757Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1369, 72, 49)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-11T04:52:11.458Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1369, 72, 52)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-11T04:52:18.268Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1394, 72, 52)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-11T04:52:37.108Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1371, 72, 52)
(1398, 72, 52)","CREATE","{}","{
  ""type"": ""SIDING"",
  ""one_way"": false
}"
"2025-01-11T04:52:40.406Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1366, 72, 49)
(1371, 72, 52)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": true
}"
"2025-01-11T04:52:42.960Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1366, 72, 52)
(1371, 72, 52)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": true
}"
